"ホール番号","会員番号","姓","名","姓カナ","名カナ","郵便番号","住所_1","住所_2","住所カナ","電話番号_自宅_1","電話番号_自宅_2","電話番号_自宅_3","電話番号_自宅_内線","電話番号_携帯_1","電話番号_携帯_2","電話番号_携帯_3","EﾒｰﾙｱﾄﾞﾚｽPC","Eﾒｰﾙｱﾄﾞﾚｽ_携帯ドメイン","Eﾒｰﾙｱﾄﾞﾚｽ_携帯アカウント","性別コード","暦フラグ","生年月日","職業コード","機種コード","機種","ＤＭ発行フラグ","備考","入力日"
"1","00000001","あああいいい","いいい","ｱｱｱｲｲｲ","ｲｲｲ","4560001","愛知県名古屋市熱田区金山","１－１-1","ｱｲﾁｹﾝﾅｺﾞﾔｼｱﾂﾀｸｶﾅﾔﾏ1-1-1","052","123","4567","1","090","123","1237","a@ab.com","docomo.ne.jp","a","1","2","1975/06/02 0:00:00","-1","                                                                                                    ","","1","","2010/10/06 0:00:00"
"1","00000002","デンワ","マデ","ﾃﾞﾝﾜ","ﾏﾃﾞ","4560001","愛知県名古屋市熱田区金山","","ｱｲﾁｹﾝﾅｺﾞﾔｼｱﾂﾀｸｶﾅﾔﾏ","052","123","4567","","","","","","","","1","1","","-1","                                                                                                    ","","1","","2010/10/06 0:00:00"
"1","00000003","ケイタイ","マデ","ｹｲﾀｲ","ﾏﾃﾞ","4560001","愛知県名古屋市熱田区金山","","ｱｲﾁｹﾝﾅｺﾞﾔｼｱﾂﾀｸｶﾅﾔﾏ","052","123","4567","","090","123","4567","","","","1","1","","","                                                                                                    ","","1","","2010/10/06 0:00:00"
"1","00000004","あいうえおあいうえお","あいうえおあいうえお","ｱｲｳｴｵｱｲｳｴｵ","ｱｲｳｴｵｱｲｳｴｵ","1234567","あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえ50あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうe100","あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえ50","ｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳ50ｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲ100ｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲ150ｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲｳｴｵｱｲ200","12345","12345","12345","12345","12345","12345","12345","abcdefgh10ABCDEFGH20abcdefgh30abcdefgh40abcdefgh50abcdefgh60abcdefgh70@bcdefg.80","abcdefgh10ABCDEFGH20abcdefgh30@bcdefg.40","abcdefgh10ABCDEFGH20abcdefgh30abcdefgh40","1","2","1935/10/06 0:00:00","-1","                                                                                                    ","","1","あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえ50あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうe100あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえ50あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうe200","2010/10/13 0:00:00"
"1","5","短い","とき","姓カナ","名カナ","01","住所_1","住所_2","住所カナ","03","2","1","","08","7","6","p","d","a","0","暦フラグ","21","","","","","備考",""

"1","00000006","多いとき902234567890323456789042345678905234567890","名345678902234567890323456789042345678905234567890","12345678902234567890323456789042345678905234567890","12345678902234567890323456789042345678905234567890","4680001234","住所１789022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890123456789022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890","住所２789022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890123456789022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890","住所カナ9022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890123456789022345678903234567890423456789052345678906234567890723456789082345678909234567890103456789011345678901234567890133456789014345678901534567890","05245","83145","12345","98765","09045","12345","56785","mailaddress23456789012345678901234567890123456789012345678901234567890.hotmail.com","mailaddresskeitaiDomain45678901234567890","mailaddresskeitaiACCOUNT5678901234567890","2","1","1979/09/21 15:43:21","-1","                                                                                                    ","","1","","2010/10/06 0:00:00"
"1","00000007","郵便番号","３桁未満","","","4","","","","","","","","","","","","","","","","","","                                                                                                    ","","","",""
"1","00000008","郵便番号","７桁未満","","","8765","","","","","","","","","","","","","","","","","","                                                                                                    ","","","",""
"1","00000009","多いとき２&自宅なし＠","４０バイトで切れるか確認","","","","住所１は言うほど長くありません,","住所２も言うほど長くありませんが、１２０バイト目が全角の場合、変に切れないか確認が必要です","","","","","","98765","43210","98765","","mailaddresskeitaiDomain45678901234567890","mailaddresskeitaiACCOUNT5678901234567890","1","0","","","                                                                                                    ","","1","","2010/10/07 0:00:00"
